gene,baseMean_monocytes,log2FoldChange_monocytes,lfcSE_monocytes,stat_monocytes,pvalue_monocytes,padj_monocytes,baseMean_moDCs,log2FoldChange_moDCs,lfcSE_moDCs,stat_moDCs,pvalue_moDCs,padj_moDCs,same_direction,significant_both,geo_mean_padj,direction
ANKRD20A4,2.9243794891430315,0.49662278504398827,1.1159667049257478,0.4450157722913711,0.6563083560177274,,9.943492157626586,-1.135523696715984,1.28528538699791,-0.8834798156137682,0.37697708338133196,0.8663485850616259,False,False,0.9307784833469379,up
ANKRD22,15.163795892854536,0.16194951062586593,0.5140507032215268,0.31504579141889594,0.7527268862745031,,7.144838098643453,-0.003896020752107756,0.9521380278659879,-0.00409186550487837,0.9967351727994762,,False,False,1.0,up
ANKRD23,3.80767965374717,-0.5642146539073506,1.0246308492480773,-0.5506516364614613,0.5818725042517703,,5.333417099268473,-0.3356562355115879,0.711023850258912,-0.47207450972194837,0.6368736061276523,,True,False,1.0,down
ANKRD24,2.794687003407708,-0.6655604155365316,1.186962629168539,-0.5607256700261517,0.5749845648876155,,10.646509344304217,0.7481797129813441,1.098627510193957,0.6810130877291218,0.49586320914141413,0.9065532935263427,False,False,0.9521309224714544,down
ANKRD26,257.48877808400454,0.36920295904630374,0.14720043802207927,2.508164812600118,0.01213600470441436,0.054260893729852634,129.6677305767267,-0.046295977417486284,0.18424312364154447,-0.25127655514328856,0.8016003000668727,0.9701643566284347,False,False,0.22943841233652734,up
ANKRD27,1205.6994563500828,0.002906129446926664,0.08588911805088081,0.03383582825015236,0.9730080654812219,0.9856752595057533,489.0457742548824,-0.13775644625545638,0.3016175413814085,-0.45672557910435774,0.6478683029837373,0.9470613269765168,False,False,0.9661754081094391,up
ANKRD28,2202.9981449646007,0.08267022066788296,0.08230187990637058,1.004475484180087,0.3151494822110955,0.46457380567325285,256.7434800546018,-0.2761829602453294,0.33576714494023285,-0.8225431356438714,0.41076784709220393,0.8837773072897182,False,False,0.6407650013969585,up
ANKRD29,34.01319152201849,0.3889771612622582,0.3639823208951585,1.0686704791200539,0.2852181781729741,,100.71036599068043,-1.3112025817150834,0.5067153231533051,-2.587651333603707,0.009663273803854178,0.20362339416396238,False,False,0.45124648936469564,up
ANKRD33B,460.5272709214257,0.05475466634034069,0.11086763744721576,0.49387420532352794,0.6213950226607646,0.7385792481055647,84.15755193880337,-0.10939790428301364,0.6128142341447137,-0.17851723766778527,0.8583167849225735,0.9773069638177119,False,False,0.8495991069350403,up
ANKRD36,391.02457575599897,0.3018302564358017,0.14445704994585012,2.089411742444852,0.03667067510598263,0.10723628035618302,70.6533342164376,0.14255772348431262,0.5098188058885902,0.27962429364652647,0.7797657666859977,0.9670716497284476,True,False,0.32203286564385974,up
