dataset,contrast,context_group,score,paired,n_case,n_control,case_mean,control_mean,delta_case_minus_control,p_value
GSE250463,LPS_Al_CPI_1uM_vs_LPS,cross_helminth_lps_background,module_b_signed_score_z,True,6,6,-0.9850651450146479,-0.9892152834285136,0.004150138413865689,1.0
GSE250463,LPS_Al_CPI_1uM_vs_LPS,cross_helminth_lps_background,module_c_signed_score_z,True,6,6,0.7737548339769628,0.8497575763207429,-0.07600274234378013,0.3125
GSE250463,LPS_Al_CPI_1uM_vs_LPS,cross_helminth_lps_background,up_arm_signed_score_z,True,6,6,-0.9850651450146479,-0.9892152834285136,0.004150138413865689,1.0
GSE360,DC_Brugia50_vs_Baseline,direct_exposure,core_ev_signed_score_z,False,2,2,0.18133462235027265,0.04406502516158006,0.13726959718869258,0.6666666666666666
GSE360,DC_Brugia50_vs_Baseline,direct_exposure,down_arm_signed_score_z,False,2,2,0.12204490563873613,-0.03842746296366692,0.16047236860240305,0.6666666666666666
GSE360,DC_Brugia50_vs_Baseline,direct_exposure,module_a_signed_score_z,False,2,2,-0.08651063508125056,-0.15555634873717541,0.06904571365592485,1.0
GSE360,DC_Brugia50_vs_Baseline,direct_exposure,module_b_signed_score_z,False,2,2,0.31678790472130164,0.2937862348996143,0.02300166982168733,1.0
GSE360,DC_Brugia50_vs_Baseline,direct_exposure,module_c_signed_score_z,False,2,2,0.8550449790293633,0.3973340110302347,0.4577109679991286,0.3333333333333333
GSE360,DC_Brugia50_vs_Baseline,direct_exposure,up_arm_signed_score_z,False,2,2,0.31678790472130164,0.2937862348996143,0.02300166982168733,1.0
GSE360,DC_Brugia5_vs_Baseline,direct_exposure,core_ev_signed_score_z,False,2,2,-0.15171693891910257,0.04406502516158006,-0.19578196408068263,0.6666666666666666
GSE360,DC_Brugia5_vs_Baseline,direct_exposure,down_arm_signed_score_z,False,2,2,-0.17988179919834119,-0.03842746296366692,-0.14145433623467427,1.0
GSE360,DC_Brugia5_vs_Baseline,direct_exposure,module_a_signed_score_z,False,2,2,-0.3211203841060107,-0.15555634873717541,-0.16556403536883527,0.6666666666666666
GSE360,DC_Brugia5_vs_Baseline,direct_exposure,module_b_signed_score_z,False,2,2,-0.017397860143784638,0.2937862348996143,-0.31118409504339895,0.6666666666666666
GSE360,DC_Brugia5_vs_Baseline,direct_exposure,module_c_signed_score_z,False,2,2,0.37565628184367733,0.3973340110302347,-0.02167772918655736,1.0
